YEAR,MO,DY,WD10M,WS50M,PS,WS10M,WD50M,RH2M,PRECTOTCORR,T2M,T2MDEW,TS,ALLSKY_SFC_UV_INDEX
2017,1,1,255.94,4.07,97.83,2.6,257.12,72.38,0.02,5.45,0.42,4.26,0.37
2017,1,2,270.38,5.16,97.66,2.96,271.5,69.88,0.0,5.38,-0.34,4.98,0.41
2017,1,3,274.81,8.31,97.47,5.34,275.56,56.94,0.0,7.26,-1.64,6.27,0.45
2017,1,4,301.25,5.25,97.29,3.33,301.81,71.44,0.04,7.92,2.51,6.88,0.38
2017,1,5,309.62,9.86,96.84,6.48,309.75,77.31,0.22,8.33,4.39,7.76,0.38
2017,1,6,247.38,8.16,97.41,5.3,247.25,71.56,0.28,5.15,-0.13,4.77,0.31
2017,1,7,328.38,3.97,97.87,2.51,327.5,73.94,1.27,4.85,0.28,4.58,0.28
2017,1,8,307.0,6.27,97.54,4.01,307.25,82.19,0.32,6.23,3.08,6.07,0.37
2017,1,9,190.94,8.11,97.03,5.46,191.19,82.19,1.45,5.76,2.81,5.28,0.29
2017,1,10,275.06,7.55,96.59,4.98,275.62,76.0,0.38,5.31,0.94,4.93,0.38
2017,1,11,156.75,4.67,96.47,2.72,156.5,71.69,0.98,7.3,2.15,7.35,0.32
2017,1,12,144.31,5.12,97.6,3.68,144.19,75.38,0.12,6.94,2.35,6.32,0.39
2017,1,13,269.94,7.17,97.0,4.62,270.81,69.62,0.16,6.56,0.83,5.41,0.38
2017,1,14,312.81,3.9,96.85,2.38,312.38,87.5,6.05,5.47,3.93,5.48,0.25
2017,1,15,298.75,8.48,96.74,5.59,299.12,69.81,0.18,4.57,-0.95,4.42,0.37
2017,1,16,289.25,8.48,96.38,5.63,289.88,68.44,0.98,4.31,-1.5,4.13,0.32
2017,1,17,281.06,9.2,95.88,6.19,281.81,64.12,0.41,4.01,-2.76,3.62,0.29
2017,1,18,284.88,7.27,96.37,4.67,285.25,74.69,0.05,4.05,-0.65,3.68,0.38
2017,1,19,210.31,4.36,97.12,2.83,210.75,71.25,0.02,4.73,-0.77,4.28,0.45
2017,1,20,85.62,8.38,96.75,6.04,86.69,87.25,0.51,7.05,5.01,6.61,0.24
2017,1,21,193.0,7.18,96.24,4.93,193.38,72.12,0.07,5.53,0.41,5.51,0.47
2017,1,22,206.0,6.54,96.51,4.2,205.88,67.81,0.0,4.65,-1.62,4.12,0.46
2017,1,23,238.12,6.77,96.32,4.2,238.12,65.38,0.18,5.48,-0.74,5.03,0.36
2017,1,24,299.44,4.87,96.44,2.97,299.94,74.88,0.34,6.17,1.55,5.72,0.36
2017,1,25,327.81,6.7,97.1,4.09,328.0,82.19,0.74,6.26,3.51,5.95,0.34
2017,1,26,256.75,6.88,97.55,4.22,257.25,63.25,0.0,6.77,-0.67,6.17,0.45
2017,1,27,224.06,7.5,97.53,4.67,224.25,61.88,0.0,6.8,-0.35,6.19,0.52
