-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2017 through 08/01/2023 
Location: Latitude  35.0382   Longitude 9.4849 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 408.34 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS10M,WS10M_MAX,WS10M_MIN
2017,1,1,5.45,12.15,0.08,72.38,0.02,2.6,3.77,1.09
2017,1,2,5.38,13.04,0.16,69.88,0.0,2.96,5.1,1.1
2017,1,3,7.26,16.8,2.38,56.94,0.0,5.34,7.05,3.19
2017,1,4,7.92,15.51,2.58,71.44,0.04,3.33,4.38,1.52
2017,1,5,8.33,16.21,3.14,77.31,0.22,6.48,9.08,3.75
2017,1,6,5.15,10.69,0.12,71.56,0.28,5.3,9.0,2.88
2017,1,7,4.85,10.7,-0.77,73.94,1.27,2.51,3.88,1.12
2017,1,8,6.23,13.36,1.39,82.19,0.32,4.01,5.7,2.26
2017,1,9,5.76,9.19,0.68,82.19,1.45,5.46,7.76,3.08
2017,1,10,5.31,12.21,-0.56,76.0,0.38,4.98,6.75,3.45
2017,1,11,7.3,11.96,3.35,71.69,0.98,2.72,5.09,0.7
2017,1,12,6.94,12.43,2.53,75.38,0.12,3.68,5.95,1.41
2017,1,13,6.56,14.04,0.98,69.62,0.16,4.62,7.95,2.66
2017,1,14,5.47,8.83,3.14,87.5,6.05,2.38,3.41,0.84
2017,1,15,4.57,9.37,0.95,69.81,0.18,5.59,9.24,2.99
2017,1,16,4.31,9.97,0.57,68.44,0.98,5.63,8.78,3.2
2017,1,17,4.01,8.84,0.05,64.12,0.41,6.19,8.93,3.87
2017,1,18,4.05,11.24,-0.61,74.69,0.05,4.67,6.24,3.15
2017,1,19,4.73,11.8,-0.31,71.25,0.02,2.83,3.45,1.61
2017,1,20,7.05,14.52,0.03,87.25,0.51,6.04,10.58,2.73
2017,1,21,5.53,10.12,1.26,72.12,0.07,4.93,9.27,2.97
2017,1,22,4.65,12.62,-0.65,67.81,0.0,4.2,7.25,3.15
2017,1,23,5.48,12.7,0.36,65.38,0.18,4.2,6.43,3.31
2017,1,24,6.17,12.25,1.18,74.88,0.34,2.97,3.86,1.24
2017,1,25,6.26,12.85,2.05,82.19,0.74,4.09,5.83,2.77
2017,1,26,6.77,15.39,0.87,63.25,0.0,4.22,5.91,3.23
2017,1,27,6.8,12.58,1.96,61.88,0.0,4.67,8.01,3.04
2017,1,28,5.48,11.03,1.14,66.75,0.85,3.68,6.95,2.92
2017,1,29,7.12,13.44,2.91,80.75,0.5,4.52,7.0,2.7
2017,1,30,7.52,13.97,2.57,77.5,0.1,2.84,4.8,0.92
2017,1,31,7.69,14.75,2.74,73.69,0.0,4.8,7.7,2.99
2017,2,1,8.4,14.87,4.22,65.12,0.0,4.44,6.97,2.84
2017,2,2,9.87,18.17,3.98,60.06,0.0,3.41,4.45,2.92
2017,2,3,11.15,19.24,4.76,56.0,0.0,2.77,4.26,0.92
2017,2,4,11.58,19.79,5.36,56.56,0.0,3.56,6.57,1.05
2017,2,5,12.1,20.35,5.76,61.31,0.22,6.14,8.93,3.81
2017,2,6,9.05,12.76,6.18,56.69,0.72,8.32,10.45,5.91
2017,2,7,9.11,15.37,4.48,71.62,0.08,6.37,10.12,4.06
2017,2,8,9.86,17.3,3.89,73.19,0.92,4.68,8.52,2.95
2017,2,9,8.24,14.41,3.85,63.19,0.56,6.84,9.99,3.0
2017,2,10,9.01,15.02,4.43,69.12,0.05,4.84,8.05,0.91
2017,2,11,9.21,16.52,3.51,49.38,0.0,3.13,5.91,0.68
2017,2,12,8.64,15.99,2.62,65.62,0.01,3.66,6.46,2.23
2017,2,13,10.76,18.96,6.75,74.0,0.05,2.86,5.34,1.63
2017,2,14,11.03,16.27,6.69,84.0,0.09,5.21,7.26,1.24
2017,2,15,11.58,16.08,8.61,78.06,0.04,7.01,8.66,4.53
2017,2,16,10.02,16.02,5.16,80.25,0.0,4.02,4.98,2.22
2017,2,17,9.33,16.92,5.09,82.44,0.0,2.5,3.41,1.52
2017,2,18,10.5,17.05,5.77,76.88,0.0,3.33,4.36,1.18
2017,2,19,9.17,16.73,3.98,71.94,0.0,3.82,5.88,0.1
2017,2,20,10.07,17.03,4.8,70.12,0.0,1.49,2.63,0.26
2017,2,21,9.9,18.52,3.46,69.62,0.0,2.27,3.1,0.59
2017,2,22,13.44,23.17,6.07,60.75,0.0,2.7,4.67,0.93
2017,2,23,16.05,23.77,11.01,52.69,0.01,2.93,5.12,1.42
2017,2,24,15.33,23.13,9.59,47.38,0.0,5.09,8.32,3.02
2017,2,25,12.23,19.23,6.53,76.19,14.14,3.78,5.65,1.39
2017,2,26,9.58,14.86,5.1,77.06,8.24,4.66,6.87,2.43
2017,2,27,10.81,18.68,5.23,71.75,0.04,3.16,5.84,1.16
2017,2,28,12.29,21.15,4.66,57.19,0.0,4.0,6.59,1.61
2017,3,1,12.69,20.94,6.07,60.31,0.0,3.3,5.03,1.88
2017,3,2,12.94,21.35,6.41,64.75,0.0,2.88,4.77,0.68
2017,3,3,13.75,22.46,8.13,50.31,0.0,3.84,6.54,2.23
2017,3,4,14.34,23.89,6.87,49.12,0.03,3.05,4.45,1.18
2017,3,5,15.01,23.1,9.87,58.38,0.07,2.99,4.55,1.85
2017,3,6,14.04,22.08,6.71,65.0,0.01,3.2,4.7,2.27
2017,3,7,13.21,19.62,8.69,60.25,0.01,8.5,12.5,2.9
2017,3,8,11.65,17.01,6.83,59.06,0.25,11.55,14.43,7.6
2017,3,9,12.3,20.17,5.55,69.81,0.32,7.7,10.73,4.95
2017,3,10,15.54,25.4,8.43,47.94,0.0,7.93,10.85,5.13
2017,3,11,13.04,21.17,7.25,57.69,0.01,5.88,8.77,2.38
2017,3,12,14.54,24.01,6.17,41.56,0.0,4.65,7.06,2.34
2017,3,13,16.19,23.96,8.87,32.5,0.0,4.21,7.62,1.78
2017,3,14,13.07,19.09,9.29,74.5,0.14,6.07,7.83,3.52
2017,3,15,11.8,16.61,7.58,73.25,0.64,6.2,7.57,4.57
2017,3,16,8.81,12.68,5.4,77.62,0.97,7.0,10.37,4.0
2017,3,17,9.9,17.88,3.55,61.12,0.01,3.89,6.23,1.62
2017,3,18,12.4,22.38,3.85,39.75,0.0,3.07,4.2,2.01
2017,3,19,13.95,23.55,6.68,37.69,0.0,2.78,3.81,0.5
2017,3,20,13.38,20.32,8.71,53.12,13.2,2.51,4.88,1.04
2017,3,21,12.87,18.98,8.55,70.56,9.21,7.31,10.78,3.73
2017,3,22,14.23,22.8,6.0,62.88,0.01,2.84,4.67,0.81
2017,3,23,14.63,22.59,8.12,58.44,0.0,4.16,5.76,2.66
2017,3,24,14.21,21.26,9.01,73.38,0.05,4.94,8.22,1.88
2017,3,25,16.01,25.65,10.06,70.69,0.1,2.52,6.0,0.57
2017,3,26,14.94,24.39,8.9,62.0,0.0,2.43,3.81,0.54
2017,3,27,16.13,25.33,8.1,57.44,0.0,1.94,3.47,0.04
2017,3,28,14.3,21.68,8.56,61.5,0.12,4.15,5.88,1.6
2017,3,29,11.94,17.44,7.52,67.25,0.33,3.83,6.11,1.91
2017,3,30,12.16,20.44,4.55,60.94,0.05,3.46,5.73,1.58
2017,3,31,15.01,23.09,6.48,45.12,0.0,4.46,6.52,0.77
2017,4,1,16.38,23.33,10.58,41.12,3.25,6.97,10.62,3.21
2017,4,2,13.71,19.84,7.95,57.62,1.06,4.66,6.44,2.59
2017,4,3,12.39,19.72,5.36,63.38,0.51,4.67,7.1,2.63
2017,4,4,12.72,18.87,7.94,68.06,0.66,4.93,8.12,3.16
2017,4,5,14.7,22.45,7.4,58.75,0.0,3.1,5.99,0.24
2017,4,6,15.14,21.77,7.91,49.38,0.24,3.98,6.26,1.87
2017,4,7,12.9,18.04,9.65,71.69,1.7,5.02,7.12,1.7
2017,4,8,12.86,17.17,10.19,74.44,3.93,7.27,9.71,5.68
2017,4,9,11.81,16.05,9.08,75.44,7.55,7.73,10.23,3.87
2017,4,10,13.12,19.77,7.9,70.62,0.08,5.02,7.35,0.97
2017,4,11,14.16,21.15,7.27,66.5,0.65,2.07,3.15,0.84
2017,4,12,14.85,21.37,8.74,58.44,0.9,3.84,5.81,2.15
2017,4,13,16.51,25.23,8.46,52.19,0.0,3.51,4.59,1.49
2017,4,14,19.12,28.24,11.08,41.38,0.0,3.06,5.59,1.18
